"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"694",0,0,0,0,0,0,0,1,0,1,1
"695",0,0,0,0,0,0,0,0,0,0,0
"696",0,0,0,0,0,0,0,0,0,0,0
"697",0,0,0,0,0,0,0,0,0,0,0
"698",0,1,0,0,1,0,1,1,0,3,3
"699",0,0,0,0,0,0,0,0,0,0,0
"700",0,1,0,0,1,0,0,1,0,2,2
"701",0,0,0,0,0,0,0,0,0,0,0
"702",0,1,0,1,1,1,0,0,1,1,0
"703",0,2,0,0,2,1,2,2,0,2,2
"704",0,0,0,0,1,0,0,1,0,1,1
"705",0,1,0,0,1,0,1,1,0,1,1
"706",1,0,1,1,1,0,0,1,2,2,0
"707",0,0,0,0,0,0,0,0,0,0,0
"708",0,1,0,0,1,0,1,1,0,1,1
"709",0,1,0,0,1,0,0,0,0,2,2
"710",0,2,0,0,2,0,1,2,0,2,2
"711",0,1,0,0,1,0,1,1,1,1,0
"712",0,0,0,0,0,0,0,0,0,0,0
"713",0,1,0,0,1,0,0,1,0,1,1
"714",0,1,0,0,1,0,1,1,0,1,1
"715",0,0,0,0,0,0,0,0,0,1,1
"716",0,0,0,0,0,0,0,0,0,0,0
"717",0,0,0,0,1,0,0,0,0,1,1
"718",0,1,0,0,0,0,0,0,0,0,0
"719",0,0,0,0,0,0,0,1,0,1,1
"720",0,1,0,0,1,1,1,2,0,2,2
"721",0,3,0,0,3,0,0,3,0,4,4
"722",0,0,0,0,0,0,0,0,0,0,0
"723",0,1,0,0,0,0,0,0,0,0,0
"724",0,0,0,0,0,0,0,1,0,0,0
"725",0,1,0,0,1,0,0,1,0,1,1
"726",0,0,0,0,1,0,0,0,0,2,2
"727",0,0,0,0,0,0,0,0,0,1,1
"728",0,1,0,0,0,0,0,0,0,0,0
"729",0,2,0,0,0,0,0,0,0,1,1
"730",0,0,0,0,0,0,0,0,0,0,0
"731",1,2,0,1,2,1,0,2,1,4,3
"732",0,0,0,0,1,0,0,0,0,1,1
"733",0,0,0,0,1,0,0,2,2,3,1
"734",0,0,0,0,0,0,0,1,0,0,0
"735",0,0,0,1,0,1,0,0,1,0,-1
"736",0,0,0,0,0,0,0,1,0,1,1
