,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
892,0,0,0,0,0,0,0,0,0,0,0,Ikigai
893,0,1,0,0,1,0,1,1,0,1,1,Ikigai
894,0,1,0,0,1,0,1,1,0,1,1,Ikigai
895,0,0,0,0,1,0,0,0,0,1,1,Ikigai
896,0,0,0,0,0,0,0,0,1,1,0,Ikigai
897,0,1,0,0,1,1,1,1,0,1,1,Ikigai
898,0,0,0,0,0,0,0,0,0,0,0,Ikigai
899,0,0,0,0,0,0,0,0,0,0,0,Ikigai
900,0,1,0,0,1,0,1,2,0,2,2,Ikigai
901,0,0,0,0,0,0,0,0,0,0,0,Ikigai
902,0,0,0,0,0,0,0,0,0,0,0,Ikigai
903,0,0,0,0,2,0,0,1,1,2,1,Ikigai
904,0,0,0,0,0,0,0,0,0,0,0,Ikigai
905,0,1,0,0,1,0,1,1,0,1,1,Ikigai
906,0,0,0,0,0,0,0,0,0,0,0,Ikigai
907,0,0,0,0,1,0,0,1,1,2,1,Ikigai
908,0,2,0,0,1,0,1,1,0,2,2,Ikigai
909,0,0,0,0,0,0,0,1,0,1,1,Ikigai
910,0,1,0,0,1,0,1,2,0,2,2,Ikigai
911,0,0,0,0,1,0,1,0,0,1,1,Ikigai
912,0,2,0,0,1,0,1,1,0,2,2,Ikigai
913,0,0,0,0,0,0,0,0,0,0,0,Ikigai
914,0,0,0,0,0,0,0,0,0,1,1,Ikigai
915,0,0,0,0,0,0,0,0,0,0,0,Ikigai
916,0,0,0,0,1,0,1,2,0,2,2,Ikigai
917,0,0,0,0,0,0,0,0,0,1,1,Ikigai
918,0,0,0,0,1,0,0,0,0,1,1,Ikigai
919,0,0,0,0,0,0,0,0,0,0,0,Ikigai
920,0,1,0,0,1,0,1,1,0,1,1,Ikigai
921,0,0,0,0,0,0,0,0,0,1,1,Ikigai
922,0,0,0,0,0,0,0,0,1,0,-1,Ikigai
923,0,0,0,0,1,0,0,1,0,1,1,Ikigai
924,0,1,0,0,1,0,1,1,0,1,1,Ikigai
925,0,1,0,0,1,0,1,1,0,1,1,Ikigai
926,0,0,0,0,0,0,0,0,0,0,0,Ikigai
927,0,0,0,0,0,0,0,0,0,0,0,Ikigai
928,0,0,0,0,1,0,0,2,0,2,2,Ikigai
929,0,1,0,0,2,0,1,2,0,2,2,Ikigai
930,0,1,0,0,1,0,1,1,0,2,2,Ikigai
931,0,0,0,0,0,0,0,0,0,0,0,Ikigai
932,0,1,0,0,1,0,1,2,0,1,1,Ikigai
933,0,0,0,0,0,0,0,0,0,0,0,Ikigai
