,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
242,1,2,0,0,1,1,2,2,2,4,2,Subconcious
243,0,1,0,0,0,0,0,1,0,1,1,Subconcious
244,0,1,0,0,2,0,0,0,0,3,3,Subconcious
245,0,0,0,0,0,1,0,0,1,0,-1,Subconcious
246,1,1,0,2,1,1,1,2,1,5,4,Subconcious
247,1,1,1,2,1,0,0,1,1,2,1,Subconcious
248,1,1,0,0,2,0,1,3,1,6,5,Subconcious
249,0,0,0,0,0,0,0,0,0,1,1,Subconcious
250,0,0,0,1,0,0,0,2,0,2,2,Subconcious
251,0,0,0,0,0,0,0,0,0,0,0,Subconcious
252,0,0,0,0,0,0,0,1,0,2,2,Subconcious
253,0,2,0,0,2,0,1,4,0,5,5,Subconcious
254,0,1,1,0,1,0,1,2,2,2,0,Subconcious
255,0,1,0,1,1,0,0,0,0,4,4,Subconcious
256,2,4,1,2,5,1,2,5,1,7,6,Subconcious
257,0,0,1,0,0,0,0,1,1,1,0,Subconcious
258,0,0,0,1,0,0,0,1,0,2,2,Subconcious
259,0,0,0,1,0,0,0,0,0,2,2,Subconcious
260,0,1,0,1,1,0,0,1,0,1,1,Subconcious
261,1,2,1,0,1,1,1,2,2,4,2,Subconcious
262,0,0,0,0,0,0,0,1,1,1,0,Subconcious
263,0,0,0,1,1,0,0,3,0,3,3,Subconcious
264,1,2,1,0,1,0,1,1,2,1,-1,Subconcious
265,0,0,0,0,1,0,0,1,0,1,1,Subconcious
266,1,1,0,1,0,0,0,2,1,3,2,Subconcious
267,0,1,0,0,0,0,0,1,1,1,0,Subconcious
268,0,0,0,1,1,0,0,1,0,3,3,Subconcious
269,0,1,0,0,1,0,0,0,0,4,4,Subconcious
270,0,0,0,0,1,0,0,1,0,1,1,Subconcious
271,0,1,0,0,1,0,0,1,0,1,1,Subconcious
272,1,2,1,1,2,1,1,1,1,3,2,Subconcious
273,1,1,1,1,1,1,1,1,1,2,1,Subconcious
274,0,0,0,1,0,0,0,1,0,1,1,Subconcious
275,0,1,0,0,0,0,0,1,0,2,2,Subconcious
276,0,0,0,0,0,0,0,0,0,2,2,Subconcious
277,0,0,0,0,0,0,0,1,0,1,1,Subconcious
278,0,1,0,1,1,0,0,2,0,5,5,Subconcious
279,0,2,0,0,1,0,0,1,0,4,4,Subconcious
280,0,1,0,0,1,0,0,1,0,4,4,Subconcious
281,0,0,0,0,0,0,0,0,1,0,-1,Subconcious
282,0,2,0,0,2,0,0,1,1,2,1,Subconcious
283,0,2,0,0,2,0,1,2,0,4,4,Subconcious
284,0,0,0,1,1,0,0,2,0,3,3,Subconcious
285,0,3,0,0,2,0,1,2,0,3,3,Subconcious
286,2,1,1,2,1,3,0,1,3,2,-1,Subconcious
287,0,1,0,0,1,0,1,2,0,2,2,Subconcious
288,0,1,0,0,1,0,1,1,0,1,1,Subconcious
289,0,2,0,1,1,1,0,1,1,2,1,Subconcious
290,0,1,0,1,1,1,0,1,1,2,1,Subconcious
291,0,0,0,0,0,0,0,0,0,1,1,Subconcious
292,0,2,0,1,2,0,1,2,0,3,3,Subconcious
293,0,1,0,0,0,1,0,1,2,1,-1,Subconcious
294,4,1,1,3,0,1,0,1,4,3,-1,Subconcious
295,0,1,0,0,2,0,1,3,0,3,3,Subconcious
296,0,1,0,0,0,1,0,1,1,1,0,Subconcious
297,0,1,0,0,2,0,0,3,1,6,5,Subconcious
298,0,1,0,0,1,1,1,1,1,1,0,Subconcious
299,0,1,0,1,0,0,0,0,0,3,3,Subconcious
300,1,2,1,1,3,0,0,2,0,3,3,Subconcious
301,0,1,0,0,1,2,1,1,2,2,0,Subconcious
302,0,1,0,0,3,0,0,2,0,4,4,Subconcious
303,0,0,0,0,0,0,0,2,0,2,2,Subconcious
304,0,0,0,0,0,0,0,0,0,1,1,Subconcious
305,0,1,0,2,1,0,0,1,0,2,2,Subconcious
306,0,2,0,0,2,0,0,1,1,3,2,Subconcious
307,0,0,0,1,1,0,0,1,0,5,5,Subconcious
308,0,2,0,0,1,0,0,1,0,3,3,Subconcious
309,0,0,0,1,0,0,0,3,0,2,2,Subconcious
310,0,0,0,1,1,0,0,2,1,3,2,Subconcious
311,0,2,0,0,3,0,1,3,0,5,5,Subconcious
312,3,0,2,2,0,2,2,1,3,2,-1,Subconcious
313,0,0,0,1,1,0,1,2,0,2,2,Subconcious
314,0,1,0,0,0,0,0,0,0,0,0,Subconcious
315,0,2,0,0,1,0,1,1,0,2,2,Subconcious
316,0,0,0,1,0,1,0,1,1,0,-1,Subconcious
317,0,2,1,1,2,1,1,1,1,4,3,Subconcious
318,0,0,0,1,1,0,1,1,0,1,1,Subconcious
319,0,3,0,3,4,1,0,3,0,5,5,Subconcious
320,0,1,0,1,2,0,0,2,1,4,3,Subconcious
321,1,2,0,2,2,0,0,2,0,5,5,Subconcious
322,0,1,0,0,1,0,0,3,0,7,7,Subconcious
323,0,1,0,0,1,0,1,1,0,1,1,Subconcious
324,1,2,1,0,1,0,1,1,1,1,0,Subconcious
325,1,3,1,1,1,0,1,1,2,2,0,Subconcious
326,1,1,0,1,2,1,1,2,2,4,2,Subconcious
327,0,0,0,0,1,0,1,1,1,2,1,Subconcious
328,0,1,0,0,1,0,1,0,0,2,2,Subconcious
329,1,1,0,0,1,0,1,1,1,1,0,Subconcious
330,0,1,0,0,1,0,1,1,0,2,2,Subconcious
331,1,2,1,0,1,0,1,2,1,2,1,Subconcious
332,0,1,0,0,0,0,1,1,0,2,2,Subconcious
333,0,1,0,0,1,0,1,1,1,2,1,Subconcious
334,0,0,1,0,0,0,0,0,1,1,0,Subconcious
335,0,1,0,2,2,0,0,1,0,3,3,Subconcious
336,0,2,0,0,1,0,1,1,0,2,2,Subconcious
337,0,0,0,2,2,3,0,2,3,3,0,Subconcious
338,0,1,0,0,1,0,1,1,1,1,0,Subconcious
339,1,1,1,1,1,1,0,1,3,1,-2,Subconcious
340,0,3,0,0,2,0,1,4,0,4,4,Subconcious
341,0,0,0,1,0,0,0,0,1,0,-1,Subconcious
342,0,4,0,0,2,0,0,2,0,4,4,Subconcious
343,0,0,0,0,0,1,0,0,1,0,-1,Subconcious
344,0,2,0,0,2,0,1,3,0,4,4,Subconcious
345,0,1,0,0,1,0,0,1,1,4,3,Subconcious
346,0,1,0,1,1,0,1,2,2,2,0,Subconcious
347,0,2,1,0,4,0,0,2,1,6,5,Subconcious
348,0,1,0,1,1,1,0,2,1,4,3,Subconcious
349,0,1,1,0,1,0,1,1,1,1,0,Subconcious
350,0,1,0,0,2,0,1,3,0,3,3,Subconcious
351,1,0,0,1,1,1,1,1,1,2,1,Subconcious
352,0,0,0,1,0,0,0,0,1,0,-1,Subconcious
353,1,1,1,0,1,0,1,1,1,1,0,Subconcious
354,0,0,0,0,0,0,0,1,0,2,2,Subconcious
355,0,1,0,0,1,0,0,1,1,1,0,Subconcious
356,0,2,0,0,3,0,1,2,0,3,3,Subconcious
357,0,2,0,0,0,0,0,0,0,2,2,Subconcious
358,0,1,0,0,1,0,0,1,0,2,2,Subconcious
359,1,1,0,0,2,0,1,3,0,4,4,Subconcious
360,0,2,0,0,1,0,1,1,1,2,1,Subconcious
361,0,2,0,0,2,0,1,2,0,2,2,Subconcious
362,0,0,0,0,1,0,0,2,0,1,1,Subconcious
363,0,1,0,0,1,0,0,2,0,2,2,Subconcious
364,0,1,0,1,1,0,1,3,0,3,3,Subconcious
365,0,0,0,0,1,1,0,1,1,2,1,Subconcious
366,0,0,0,0,0,1,0,1,1,0,-1,Subconcious
367,0,0,0,0,0,0,0,0,0,0,0,Subconcious
368,0,1,0,0,1,0,1,1,0,1,1,Subconcious
369,0,2,0,1,1,0,1,2,0,1,1,Subconcious
370,0,1,0,0,1,0,0,1,0,3,3,Subconcious
371,0,1,0,0,2,0,1,1,0,2,2,Subconcious
372,1,1,0,1,1,3,1,1,3,1,-2,Subconcious
373,0,1,0,0,1,0,1,1,0,1,1,Subconcious
374,0,0,0,1,0,0,0,0,0,1,1,Subconcious
375,0,0,0,0,0,0,0,0,0,0,0,Subconcious
376,0,0,0,0,0,0,0,0,0,0,0,Subconcious
377,0,0,0,0,0,0,0,0,0,2,2,Subconcious
378,0,0,0,0,0,0,0,0,1,1,0,Subconcious
379,0,1,0,0,2,0,2,2,0,4,4,Subconcious
380,0,0,0,0,0,0,0,2,0,2,2,Subconcious
381,0,0,0,0,2,0,2,4,0,4,4,Subconcious
382,0,0,0,0,0,0,0,0,0,0,0,Subconcious
383,0,3,0,0,2,0,1,1,0,3,3,Subconcious
384,0,0,0,1,0,0,0,1,0,2,2,Subconcious
385,0,0,0,1,1,0,0,1,0,1,1,Subconcious
386,0,1,0,0,0,0,0,1,0,5,5,Subconcious
387,0,1,0,0,1,0,0,0,0,3,3,Subconcious
388,0,2,0,0,2,1,0,2,0,2,2,Subconcious
389,1,2,0,1,2,0,1,2,0,3,3,Subconcious
390,1,0,1,1,1,1,0,2,1,2,1,Subconcious
391,1,3,0,1,3,0,1,3,0,4,4,Subconcious
392,0,2,0,0,5,1,2,2,3,5,2,Subconcious
393,2,2,0,2,1,1,1,2,2,4,2,Subconcious
394,0,2,0,0,1,0,1,1,0,2,2,Subconcious
395,0,0,0,0,2,0,0,2,0,3,3,Subconcious
396,0,0,0,0,0,0,0,0,0,0,0,Subconcious
397,0,1,0,0,2,0,0,1,1,2,1,Subconcious
398,0,1,0,0,1,0,1,1,0,3,3,Subconcious
399,0,0,0,0,0,0,0,0,0,1,1,Subconcious
400,0,2,0,0,1,0,0,2,0,3,3,Subconcious
401,0,1,0,1,1,0,1,2,0,1,1,Subconcious
402,0,1,0,1,1,0,0,2,0,3,3,Subconcious
403,0,1,0,0,2,0,1,2,0,2,2,Subconcious
404,0,0,0,0,0,0,0,1,0,1,1,Subconcious
405,0,2,1,0,1,0,1,2,1,4,3,Subconcious
406,0,1,0,0,1,0,1,2,0,2,2,Subconcious
407,0,0,0,0,0,0,0,0,0,0,0,Subconcious
408,0,1,0,0,2,0,1,2,0,2,2,Subconcious
409,0,1,0,1,3,2,0,1,2,3,1,Subconcious
410,0,1,0,0,0,0,0,0,0,0,0,Subconcious
411,0,0,0,0,0,0,0,0,0,1,1,Subconcious
412,0,2,0,0,1,0,1,1,0,1,1,Subconcious
413,1,1,0,1,1,1,0,2,2,1,-1,Subconcious
414,0,0,0,0,1,0,0,0,0,2,2,Subconcious
415,0,0,0,0,0,0,0,1,1,0,-1,Subconcious
416,0,1,0,1,1,0,1,1,0,1,1,Subconcious
417,0,0,0,1,0,1,0,0,1,0,-1,Subconcious
418,1,1,0,1,1,1,1,1,1,1,0,Subconcious
419,0,0,0,0,2,1,0,1,1,2,1,Subconcious
420,0,1,1,1,1,1,1,1,1,1,0,Subconcious
421,0,2,0,0,1,0,0,1,2,1,-1,Subconcious
422,0,0,0,0,1,0,0,3,0,3,3,Subconcious
