,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
3744,1,2,0,0,1,0,1,1,1,1,0,The Secret
3745,0,0,0,0,1,0,0,0,0,1,1,The Secret
3746,0,3,0,0,2,0,2,1,0,3,3,The Secret
3747,0,0,0,0,0,0,0,0,0,0,0,The Secret
3748,0,0,0,0,0,0,0,1,0,1,1,The Secret
3749,0,0,0,0,0,0,0,1,0,2,2,The Secret
3750,0,0,0,0,0,0,0,1,0,1,1,The Secret
3751,0,0,0,0,0,0,0,0,0,0,0,The Secret
3752,0,0,0,0,2,0,0,1,0,3,3,The Secret
3753,0,0,0,1,0,0,0,0,0,0,0,The Secret
3754,0,0,0,0,1,0,0,0,0,1,1,The Secret
3755,0,1,0,0,1,0,1,1,0,1,1,The Secret
3756,0,0,0,0,0,0,0,2,0,2,2,The Secret
3757,0,0,0,0,0,0,0,0,0,0,0,The Secret
3758,0,1,0,0,1,0,1,1,0,1,1,The Secret
3759,0,0,0,0,0,0,0,0,0,0,0,The Secret
3760,0,0,0,0,1,0,0,0,0,1,1,The Secret
3761,0,0,0,0,0,0,0,1,0,1,1,The Secret
3762,0,1,0,0,1,0,0,1,0,1,1,The Secret
3763,0,1,0,0,1,0,1,1,0,1,1,The Secret
3764,0,0,0,0,0,0,0,0,0,0,0,The Secret
3765,0,0,0,0,0,0,0,0,0,0,0,The Secret
3766,0,0,0,0,0,0,0,0,0,1,1,The Secret
3767,0,2,0,0,2,0,0,1,0,3,3,The Secret
3768,0,1,0,1,1,0,0,1,0,2,2,The Secret
3769,0,3,0,0,1,0,1,1,0,2,2,The Secret
3770,0,0,0,0,0,0,0,0,0,0,0,The Secret
3771,0,0,0,0,0,0,0,0,0,0,0,The Secret
3772,0,0,0,0,0,0,0,0,0,0,0,The Secret
3773,0,0,0,0,0,0,0,0,0,0,0,The Secret
3774,1,2,1,1,2,0,0,1,0,2,2,The Secret
3775,0,1,0,1,0,0,0,0,0,0,0,The Secret
3776,0,0,0,0,0,0,0,1,0,2,2,The Secret
3777,0,2,1,1,0,0,0,1,1,0,-1,The Secret
3778,0,1,0,0,1,0,0,1,0,1,1,The Secret
3779,0,1,0,0,1,0,0,0,0,1,1,The Secret
3780,0,0,0,0,1,0,0,0,0,1,1,The Secret
3781,0,2,0,0,2,1,1,3,1,2,1,The Secret
3782,1,4,1,1,3,0,0,3,0,4,4,The Secret
3783,0,0,0,0,1,0,0,0,0,1,1,The Secret
3784,0,0,0,0,0,0,0,0,0,0,0,The Secret
3785,1,3,1,1,2,1,1,2,1,2,1,The Secret
3786,0,0,0,0,0,0,0,0,0,0,0,The Secret
3787,0,1,0,0,0,0,0,0,0,0,0,The Secret
3788,0,0,0,0,0,0,0,0,0,0,0,The Secret
3789,0,0,0,0,0,0,0,0,0,1,1,The Secret
3790,0,1,0,0,1,0,0,1,0,1,1,The Secret
3791,0,1,0,0,1,0,0,3,0,2,2,The Secret
3792,0,0,0,0,0,0,0,0,0,0,0,The Secret
3793,0,0,0,0,0,0,0,0,0,0,0,The Secret
3794,0,1,0,0,1,0,0,2,0,2,2,The Secret
3795,0,0,0,1,0,0,0,0,0,1,1,The Secret
3796,0,0,0,0,0,0,0,1,0,1,1,The Secret
3797,0,1,0,1,0,0,0,0,0,3,3,The Secret
3798,0,1,0,0,1,1,1,1,0,1,1,The Secret
3799,0,0,0,0,0,0,0,0,0,0,0,The Secret
3800,0,0,0,0,0,0,0,0,0,0,0,The Secret
3801,0,2,0,0,1,0,0,2,0,4,4,The Secret
3802,0,0,0,0,1,0,1,1,0,1,1,The Secret
3803,0,0,0,0,1,0,0,1,0,1,1,The Secret
3804,0,0,0,0,0,0,0,0,0,2,2,The Secret
3805,0,0,0,0,0,0,0,0,0,0,0,The Secret
3806,0,0,0,0,0,0,0,0,0,0,0,The Secret
3807,0,0,0,0,0,0,0,0,0,0,0,The Secret
3808,0,0,0,0,0,0,0,0,0,0,0,The Secret
3809,0,0,0,0,1,0,0,0,0,1,1,The Secret
3810,0,0,0,0,3,0,0,5,0,5,5,The Secret
3811,0,0,0,0,0,0,0,0,0,0,0,The Secret
3812,0,1,0,0,2,0,0,2,0,2,2,The Secret
3813,0,1,0,0,1,0,1,3,0,4,4,The Secret
3814,0,0,0,0,1,0,0,1,0,1,1,The Secret
3815,0,0,0,0,0,0,0,0,0,1,1,The Secret
3816,0,0,0,0,0,0,0,0,0,0,0,The Secret
3817,1,1,1,1,1,1,1,1,1,2,1,The Secret
3818,0,0,0,0,0,0,0,1,0,0,0,The Secret
3819,0,0,0,0,0,0,0,0,0,0,0,The Secret
3820,0,0,0,1,1,0,0,2,0,1,1,The Secret
3821,0,0,0,0,0,0,0,0,0,0,0,The Secret
3822,0,1,0,0,2,0,0,1,0,2,2,The Secret
3823,0,0,0,0,0,0,0,1,0,0,0,The Secret
3824,0,1,0,0,1,0,1,1,0,1,1,The Secret
3825,0,0,0,0,0,0,0,0,0,0,0,The Secret
3826,0,0,0,0,0,0,0,0,0,0,0,The Secret
3827,0,0,0,0,2,0,0,1,1,2,1,The Secret
3828,0,0,0,0,1,0,0,1,0,1,1,The Secret
3829,0,0,0,0,1,0,1,1,0,1,1,The Secret
3830,0,1,0,0,1,0,1,1,0,2,2,The Secret
3831,0,0,0,0,0,0,0,0,0,1,1,The Secret
3832,0,1,0,0,0,0,0,0,0,1,1,The Secret
3833,0,0,0,0,0,0,0,0,0,0,0,The Secret
3834,0,1,0,0,1,0,1,1,0,1,1,The Secret
3835,0,1,0,0,1,0,0,1,0,1,1,The Secret
3836,0,0,0,0,1,0,0,1,0,1,1,The Secret
3837,0,0,0,0,0,0,0,0,0,1,1,The Secret
3838,0,0,0,0,0,0,0,0,0,0,0,The Secret
3839,0,0,0,0,2,0,1,2,0,2,2,The Secret
3840,0,0,0,0,1,0,0,2,0,2,2,The Secret
3841,0,1,0,0,1,0,1,1,0,1,1,The Secret
3842,0,0,0,0,0,0,0,0,0,0,0,The Secret
3843,0,0,0,0,0,0,0,0,0,0,0,The Secret
3844,0,0,0,0,0,0,0,0,0,0,0,The Secret
3845,0,1,0,0,0,0,0,0,0,1,1,The Secret
3846,0,0,0,0,1,0,0,0,0,1,1,The Secret
3847,0,0,0,1,0,0,0,0,0,2,2,The Secret
3848,0,1,0,0,1,0,1,1,0,1,1,The Secret
3849,0,0,0,0,0,0,0,0,0,0,0,The Secret
3850,0,0,0,0,1,0,0,0,0,1,1,The Secret
3851,0,1,0,0,1,0,1,1,0,2,2,The Secret
3852,0,0,0,0,0,0,0,0,0,1,1,The Secret
3853,0,1,0,0,1,0,1,1,0,1,1,The Secret
3854,0,0,0,0,0,0,0,0,0,0,0,The Secret
3855,0,1,0,0,1,0,1,1,0,1,1,The Secret
3856,0,2,1,0,3,0,2,3,0,3,3,The Secret
3857,0,0,0,0,1,0,0,1,0,1,1,The Secret
3858,0,0,0,0,0,0,0,2,0,2,2,The Secret
3859,0,0,0,0,0,0,0,0,0,0,0,The Secret
3860,0,0,0,0,0,0,0,0,1,1,0,The Secret
3861,1,1,0,0,1,0,1,1,0,1,1,The Secret
3862,1,1,1,0,0,0,0,0,1,0,-1,The Secret
3863,0,2,0,0,2,1,2,2,0,3,3,The Secret
3864,0,0,0,0,0,0,0,0,0,0,0,The Secret
3865,0,1,0,0,1,0,1,1,0,2,2,The Secret
3866,0,0,0,0,0,0,0,0,0,0,0,The Secret
3867,0,1,0,0,1,0,0,0,0,1,1,The Secret
3868,0,1,0,0,1,0,1,1,0,1,1,The Secret
3869,0,0,0,0,0,0,0,0,0,0,0,The Secret
3870,0,0,0,0,0,1,0,0,0,0,0,The Secret
3871,0,1,0,0,1,0,1,1,0,1,1,The Secret
3872,0,0,0,0,0,0,0,0,0,0,0,The Secret
3873,0,0,0,0,0,0,0,0,0,0,0,The Secret
3874,0,0,0,0,0,0,0,0,0,0,0,The Secret
3875,0,0,0,0,1,0,0,0,0,1,1,The Secret
3876,0,0,0,0,0,0,0,0,0,0,0,The Secret
3877,0,0,0,0,0,0,0,1,0,2,2,The Secret
3878,0,0,0,0,0,0,0,0,0,0,0,The Secret
3879,0,0,0,0,0,0,0,0,0,0,0,The Secret
3880,0,2,0,0,1,0,0,1,0,2,2,The Secret
3881,0,0,0,0,0,0,0,0,0,0,0,The Secret
3882,0,1,0,0,1,0,0,1,0,2,2,The Secret
3883,0,0,0,1,1,0,0,1,0,1,1,The Secret
3884,0,0,0,0,1,0,0,0,0,1,1,The Secret
3885,0,0,0,1,0,0,0,0,0,0,0,The Secret
3886,0,1,0,0,1,0,0,2,0,1,1,The Secret
3887,0,0,0,0,1,0,0,1,0,1,1,The Secret
3888,0,1,0,0,1,0,0,1,0,2,2,The Secret
3889,0,0,0,0,0,0,0,0,0,0,0,The Secret
3890,0,0,0,0,1,0,0,1,0,2,2,The Secret
3891,0,0,0,0,0,0,0,0,0,0,0,The Secret
3892,0,0,0,0,1,0,0,1,0,1,1,The Secret
3893,0,0,0,0,0,0,0,0,0,0,0,The Secret
3894,0,0,0,0,0,0,0,1,0,2,2,The Secret
3895,0,0,0,0,0,0,0,0,0,0,0,The Secret
3896,0,0,0,0,0,0,0,0,0,0,0,The Secret
3897,0,1,0,0,1,0,1,1,0,2,2,The Secret
3898,0,0,0,0,0,0,0,1,0,1,1,The Secret
3899,0,0,0,0,0,0,0,0,0,0,0,The Secret
3900,0,0,0,0,0,0,0,0,0,0,0,The Secret
3901,1,2,0,0,2,0,2,2,0,2,2,The Secret
3902,0,0,0,0,0,0,0,0,0,0,0,The Secret
3903,0,0,0,0,0,0,0,0,0,0,0,The Secret
3904,0,0,0,0,0,0,0,0,0,0,0,The Secret
3905,0,1,0,0,1,0,1,1,0,1,1,The Secret
3906,0,0,0,0,0,0,0,0,0,0,0,The Secret
3907,0,0,0,0,0,0,0,0,0,0,0,The Secret
3908,0,0,0,0,1,0,1,1,0,1,1,The Secret
3909,0,0,0,0,1,0,0,1,0,1,1,The Secret
3910,0,0,0,0,1,0,0,1,1,1,0,The Secret
3911,2,0,2,2,1,2,0,1,1,2,1,The Secret
3912,0,1,0,0,1,0,1,1,0,1,1,The Secret
3913,0,0,0,0,0,0,0,1,0,0,0,The Secret
3914,0,0,0,0,0,0,0,0,0,0,0,The Secret
3915,0,0,0,0,0,0,0,0,0,1,1,The Secret
3916,0,2,0,0,1,0,0,2,0,2,2,The Secret
3917,0,0,0,0,1,0,0,0,0,1,1,The Secret
3918,0,1,0,0,1,0,0,1,0,1,1,The Secret
3919,0,0,0,0,0,0,0,0,0,0,0,The Secret
3920,0,2,0,0,1,0,0,1,0,1,1,The Secret
3921,0,1,0,0,0,0,0,0,0,1,1,The Secret
3922,0,1,0,0,2,0,0,1,0,3,3,The Secret
3923,0,1,0,0,1,0,1,1,0,1,1,The Secret
3924,0,0,0,0,1,0,0,0,0,1,1,The Secret
3925,0,0,0,0,0,0,0,0,0,0,0,The Secret
3926,0,1,0,0,1,0,1,1,0,1,1,The Secret
3927,0,0,0,0,0,0,0,0,0,0,0,The Secret
3928,0,0,0,0,0,0,0,0,0,0,0,The Secret
3929,0,0,0,0,0,0,0,0,0,0,0,The Secret
3930,0,0,0,0,0,0,0,0,0,0,0,The Secret
3931,0,0,0,0,0,0,0,0,0,0,0,The Secret
3932,0,0,0,0,1,0,1,1,0,1,1,The Secret
3933,0,0,0,0,0,0,0,0,0,1,1,The Secret
3934,0,0,0,0,0,0,0,0,0,0,0,The Secret
3935,0,0,0,0,1,1,1,2,1,1,0,The Secret
3936,0,0,0,0,1,0,0,1,0,1,1,The Secret
3937,0,0,0,0,1,0,0,0,0,1,1,The Secret
3938,0,0,0,0,0,0,0,0,0,0,0,The Secret
3939,0,0,0,0,0,0,0,0,0,0,0,The Secret
3940,0,1,0,0,1,0,1,1,0,1,1,The Secret
3941,0,1,0,0,0,0,0,0,0,0,0,The Secret
3942,0,0,0,0,0,0,0,0,0,0,0,The Secret
3943,0,1,0,0,1,0,0,1,0,1,1,The Secret
3944,0,2,0,0,1,0,0,0,0,2,2,The Secret
3945,0,0,0,0,0,0,0,0,0,0,0,The Secret
3946,0,0,0,0,0,0,0,0,0,0,0,The Secret
3947,0,0,0,0,1,0,0,0,0,1,1,The Secret
3948,0,1,0,0,0,0,0,0,0,0,0,The Secret
3949,1,1,1,1,1,0,0,1,0,1,1,The Secret
3950,0,0,0,0,0,0,0,0,0,1,1,The Secret
3951,0,1,0,0,1,0,1,1,0,1,1,The Secret
3952,0,0,0,0,0,0,0,0,0,0,0,The Secret
3953,0,0,0,0,0,1,0,0,1,0,-1,The Secret
3954,0,0,0,0,0,0,0,0,0,0,0,The Secret
3955,0,0,0,0,0,0,0,0,0,0,0,The Secret
3956,0,0,0,0,0,0,0,0,0,0,0,The Secret
3957,0,3,0,0,2,0,1,3,0,6,6,The Secret
3958,0,1,0,0,1,0,1,1,0,1,1,The Secret
3959,0,0,0,0,1,0,0,0,0,1,1,The Secret
3960,0,1,0,0,1,0,1,1,0,1,1,The Secret
3961,0,3,0,0,1,0,0,2,0,1,1,The Secret
3962,0,0,0,0,0,0,0,0,0,0,0,The Secret
3963,0,0,0,0,0,0,0,0,0,0,0,The Secret
3964,0,1,0,0,1,0,1,1,0,1,1,The Secret
3965,0,0,0,0,1,0,0,0,0,1,1,The Secret
3966,0,0,0,0,0,0,0,0,0,0,0,The Secret
3967,0,0,0,0,0,0,0,0,0,0,0,The Secret
3968,0,0,0,0,1,0,0,0,0,1,1,The Secret
3969,0,1,0,0,0,0,0,0,0,1,1,The Secret
3970,0,0,0,0,0,0,0,0,0,0,0,The Secret
3971,0,0,0,0,0,0,0,0,0,1,1,The Secret
3972,0,1,0,0,2,0,0,1,0,3,3,The Secret
3973,0,0,0,0,0,0,0,0,0,0,0,The Secret
3974,1,1,1,1,1,1,1,1,1,1,0,The Secret
3975,0,0,0,0,0,0,0,0,0,0,0,The Secret
3976,0,2,0,0,1,0,0,1,0,2,2,The Secret
3977,0,1,0,0,1,0,1,1,0,1,1,The Secret
3978,0,0,0,0,1,0,0,0,0,1,1,The Secret
3979,0,0,0,0,0,0,0,0,0,0,0,The Secret
3980,0,2,0,0,1,0,0,1,0,1,1,The Secret
3981,0,0,0,0,1,0,0,1,0,1,1,The Secret
3982,0,0,0,0,0,0,0,1,0,1,1,The Secret
3983,0,0,0,0,0,0,0,0,0,0,0,The Secret
3984,0,2,0,0,2,0,1,1,1,2,1,The Secret
3985,0,0,0,0,0,0,0,0,0,0,0,The Secret
3986,0,0,0,0,0,0,0,0,0,0,0,The Secret
3987,0,0,0,0,0,0,0,0,0,0,0,The Secret
3988,0,2,0,0,1,0,0,1,0,2,2,The Secret
3989,0,0,0,0,0,0,0,0,0,0,0,The Secret
3990,0,0,0,0,1,0,0,3,0,5,5,The Secret
3991,0,1,0,0,1,0,0,1,0,1,1,The Secret
3992,0,0,0,0,0,0,0,0,0,1,1,The Secret
3993,0,2,0,0,2,0,1,1,0,2,2,The Secret
3994,0,0,0,0,0,0,0,0,0,2,2,The Secret
3995,1,0,0,0,1,0,0,1,1,1,0,The Secret
3996,0,0,0,0,0,0,0,0,0,0,0,The Secret
3997,1,1,0,0,1,0,1,2,1,4,3,The Secret
3998,0,0,0,0,0,0,0,0,0,0,0,The Secret
3999,0,0,0,0,0,0,0,0,0,0,0,The Secret
4000,0,0,0,0,0,0,0,0,0,0,0,The Secret
4001,0,0,0,0,1,0,0,1,0,2,2,The Secret
4002,0,0,0,0,1,0,0,1,0,1,1,The Secret
4003,0,0,0,0,0,0,0,0,0,0,0,The Secret
4004,0,1,0,0,1,0,1,1,0,1,1,The Secret
4005,0,0,0,0,1,0,0,0,0,1,1,The Secret
