,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
237,1,3,1,2,1,2,2,2,2,3,1,Death
238,1,2,1,1,0,1,1,0,2,1,-1,Death
239,0,0,0,0,0,0,0,1,1,1,0,Death
240,1,1,1,1,0,1,2,1,1,2,1,Death
241,1,1,1,1,0,1,1,0,1,1,0,Death
242,1,1,1,1,0,1,1,0,1,2,1,Death
243,0,0,0,0,0,0,0,0,2,0,-2,Death
244,0,0,0,0,1,0,0,1,0,1,1,Death
245,0,0,0,0,0,0,0,0,0,2,2,Death
246,1,2,1,3,0,4,1,0,3,0,-3,Death
247,0,0,0,0,0,0,0,1,0,2,2,Death
248,1,0,1,1,1,0,1,1,2,2,0,Death
249,0,0,0,0,1,0,0,1,0,1,1,Death
250,0,0,0,0,1,0,0,0,0,1,1,Death
251,0,1,0,1,0,1,0,0,1,0,-1,Death
252,1,1,0,0,0,1,0,1,1,1,0,Death
253,1,1,2,1,0,1,2,1,2,1,-1,Death
254,1,3,1,2,2,1,0,2,3,3,0,Death
255,0,1,0,0,1,0,1,1,0,1,1,Death
256,1,0,1,1,0,2,0,0,4,2,-2,Death
257,0,1,0,0,0,1,0,0,1,0,-1,Death
258,0,0,0,0,0,0,0,0,0,0,0,Death
259,1,2,1,2,1,1,1,0,1,3,2,Death
260,0,1,0,0,0,0,0,0,0,0,0,Death
261,1,1,1,1,0,1,1,1,1,1,0,Death
262,0,0,0,0,0,0,0,0,0,1,1,Death
263,1,1,1,2,0,2,1,0,2,0,-2,Death
264,0,1,0,1,2,1,0,1,1,4,3,Death
265,0,0,0,0,1,0,0,1,0,2,2,Death
266,1,1,0,0,0,1,0,2,1,2,1,Death
267,0,0,0,0,0,0,0,0,0,2,2,Death
268,0,0,0,0,0,0,0,0,0,0,0,Death
269,1,1,1,1,0,1,1,1,1,2,1,Death
270,1,2,1,1,0,1,1,0,1,0,-1,Death
271,0,1,0,0,1,0,1,1,0,2,2,Death
272,0,0,0,0,0,0,0,0,0,0,0,Death
273,0,1,0,0,0,0,0,0,0,1,1,Death
274,0,0,0,1,0,1,0,1,1,2,1,Death
275,1,1,1,1,0,1,1,0,1,0,-1,Death
276,0,0,0,0,1,0,0,1,0,1,1,Death
277,1,0,1,0,0,0,0,1,1,2,1,Death
278,0,0,0,0,0,0,0,1,0,2,2,Death
279,1,2,1,1,1,1,2,3,1,2,1,Death
280,0,1,0,0,1,0,1,1,0,2,2,Death
281,1,1,1,2,0,1,1,2,2,2,0,Death
282,0,0,0,0,0,0,0,0,0,0,0,Death
283,0,0,0,0,0,0,0,0,0,0,0,Death
284,0,1,0,0,1,0,0,0,0,3,3,Death
285,1,1,2,1,1,2,1,1,1,2,1,Death
286,0,2,0,0,0,0,0,0,0,1,1,Death
287,0,0,0,0,0,0,0,0,0,0,0,Death
288,0,0,0,0,1,0,1,2,0,3,3,Death
289,1,3,1,2,1,1,1,0,1,2,1,Death
290,2,1,1,2,1,2,1,2,2,2,0,Death
291,0,0,0,0,0,0,0,0,0,0,0,Death
292,0,1,0,0,2,0,0,1,0,2,2,Death
293,0,0,0,0,0,0,0,2,0,1,1,Death
294,0,0,0,0,0,0,0,0,0,0,0,Death
295,1,2,1,1,1,1,2,1,1,2,1,Death
296,0,0,0,0,0,0,0,0,0,0,0,Death
297,0,0,1,0,0,0,0,0,1,0,-1,Death
298,1,1,1,1,0,1,1,0,1,0,-1,Death
299,0,0,0,1,0,1,0,0,1,0,-1,Death
300,1,1,0,0,2,1,0,2,1,3,2,Death
301,0,0,0,0,0,0,0,0,0,0,0,Death
302,2,1,1,2,0,2,1,0,3,0,-3,Death
303,0,0,0,0,0,0,0,0,0,0,0,Death
304,1,1,1,1,0,1,1,1,1,0,-1,Death
305,0,0,0,0,0,0,0,0,1,1,0,Death
306,1,1,0,2,0,1,1,1,2,2,0,Death
307,0,1,0,0,1,0,1,1,0,1,1,Death
308,1,1,1,1,0,1,1,0,1,0,-1,Death
309,0,1,0,0,0,0,0,0,0,0,0,Death
310,0,1,0,0,0,0,0,1,0,2,2,Death
311,0,1,0,0,0,0,0,0,1,1,0,Death
312,1,2,1,2,0,2,1,0,2,1,-1,Death
313,2,1,1,2,0,1,1,0,2,0,-2,Death
314,1,3,1,2,4,1,2,3,2,6,4,Death
315,1,3,1,2,1,1,1,1,1,2,1,Death
316,1,1,0,1,0,1,0,1,2,1,-1,Death
317,0,1,0,1,0,0,0,0,1,0,-1,Death
318,0,1,0,0,1,0,1,1,0,1,1,Death
319,0,0,0,0,1,0,0,1,0,3,3,Death
320,0,1,0,0,1,0,1,1,0,1,1,Death
321,1,2,1,1,1,1,2,1,1,2,1,Death
322,1,0,1,0,0,1,0,0,1,0,-1,Death
323,0,1,0,0,1,0,1,2,0,3,3,Death
324,1,1,1,1,1,1,2,1,1,1,0,Death
