,score,Book
583,-1,Death
584,1,Death
585,0,Death
586,1,Death
587,1,Death
588,-1,Death
589,0,Death
590,0,Death
591,0,Death
592,1,Death
593,-1,Death
594,1,Death
595,2,Death
596,0,Death
597,0,Death
598,-1,Death
599,1,Death
600,0,Death
601,0,Death
602,1,Death
603,2,Death
604,2,Death
605,1,Death
606,0,Death
607,-1,Death
608,0,Death
609,0,Death
610,0,Death
611,0,Death
612,1,Death
613,0,Death
614,1,Death
615,0,Death
616,0,Death
617,2,Death
618,0,Death
619,0,Death
620,2,Death
621,1,Death
622,0,Death
623,0,Death
624,1,Death
625,0,Death
626,0,Death
627,1,Death
628,0,Death
629,0,Death
630,0,Death
631,1,Death
632,0,Death
633,0,Death
634,0,Death
635,1,Death
636,0,Death
637,0,Death
638,-1,Death
639,0,Death
640,-1,Death
641,1,Death
642,2,Death
643,0,Death
644,1,Death
645,1,Death
646,0,Death
647,-1,Death
648,0,Death
649,0,Death
650,-1,Death
651,1,Death
652,0,Death
653,0,Death
654,1,Death
655,0,Death
656,0,Death
657,0,Death
658,0,Death
659,0,Death
660,0,Death
661,1,Death
662,0,Death
663,0,Death
664,0,Death
665,0,Death
666,0,Death
667,1,Death
668,1,Death
669,0,Death
670,1,Death
671,0,Death
672,1,Death
673,0,Death
674,0,Death
675,1,Death
676,-2,Death
677,0,Death
678,0,Death
679,0,Death
680,0,Death
681,1,Death
682,0,Death
683,1,Death
684,0,Death
685,1,Death
686,0,Death
687,0,Death
688,0,Death
689,0,Death
690,0,Death
691,0,Death
692,0,Death
693,0,Death
694,0,Death
695,0,Death
696,0,Death
697,0,Death
698,1,Death
699,0,Death
700,0,Death
701,1,Death
702,1,Death
703,0,Death
704,0,Death
705,0,Death
706,0,Death
707,0,Death
708,0,Death
709,0,Death
710,1,Death
711,5,Death
712,0,Death
713,0,Death
714,1,Death
715,-1,Death
716,0,Death
717,0,Death
718,1,Death
719,0,Death
720,11,Death
721,2,Death
722,18,Death
723,0,Death
724,1,Death
725,4,Death
726,4,Death
727,-7,Death
728,2,Death
729,-3,Death
730,-1,Death
731,-2,Death
732,8,Death
733,0,Death
734,-1,Death
735,3,Death
736,0,Death
737,13,Death
738,3,Death
739,15,Death
740,2,Death
741,4,Death
742,2,Death
743,0,Death
744,2,Death
745,1,Death
746,1,Death
747,2,Death
748,0,Death
749,1,Death
750,3,Death
751,4,Death
752,1,Death
753,0,Death
754,0,Death
755,1,Death
756,0,Death
757,7,Death
758,-1,Death
759,1,Death
760,-1,Death
761,0,Death
762,-3,Death
763,2,Death
764,3,Death
765,0,Death
766,-1,Death
767,3,Death
768,1,Death
769,-2,Death
770,0,Death
771,3,Death
772,3,Death
773,0,Death
774,0,Death
775,1,Death
776,1,Death
777,3,Death
778,2,Death
779,2,Death
780,-2,Death
781,0,Death
782,0,Death
783,2,Death
784,2,Death
785,0,Death
786,0,Death
787,2,Death
